order,id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,image_url,state,lat,long,posting_date
32,7316343444,https://auburn.craigslist.org/ctd/d/auburn-university-2012-gmc-sierra-2500/7316343444.html,auburn,https://auburn.craigslist.org,27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,clean,other,1GT220CG8CZ231238,4wd,pickup,black,https://images.craigslist.org/00V0V_ftJbKrOgdi5z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-03T13:41:25-0500
33,7316304717,https://auburn.craigslist.org/ctd/d/auburn-university-2016-chevy-chevrolet/7316304717.html,auburn,https://auburn.craigslist.org,34590,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,29499,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,https://images.craigslist.org/00E0E_iKN07Sh7ouz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-03T12:41:33-0500
35,7316257769,https://auburn.craigslist.org/ctd/d/auburn-university-2016-chevy-chevrolet/7316257769.html,auburn,https://auburn.craigslist.org,29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,clean,other,1GCHTCE37G1186784,4wd,pickup,red,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-03T11:31:14-0500
36,7316133914,https://auburn.craigslist.org/ctd/d/auburn-university-2011-chevy-chevrolet/7316133914.html,auburn,https://auburn.craigslist.org,38590,2011,chevrolet,corvette grand sport,good,8 cylinders,gas,30237,clean,other,1G1YR3DW3B5102190,rwd,other,red,https://images.craigslist.org/00U0U_kKYnS1LWh82z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-03T07:50:35-0500
38,7315816316,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7315816316.html,auburn,https://auburn.craigslist.org,32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,clean,other,1C4BJWDG5HL705371,4wd,other,silver,https://images.craigslist.org/00u0u_bB3krjp4B3lz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-02T12:22:10-0500
40,7315756348,https://auburn.craigslist.org/ctd/d/auburn-university-2016-chevy-chevrolet/7315756348.html,auburn,https://auburn.craigslist.org,30990,2016,chevrolet,colorado crew cab z71,good,,other,34940,clean,other,1GCGTDE32G1341288,4wd,pickup,blue,https://images.craigslist.org/00p0p_cfEoPpHPz3Kz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-02T10:21:33-0500
42,7315379459,https://auburn.craigslist.org/ctd/d/auburn-university-2016-chevy-chevrolet/7315379459.html,auburn,https://auburn.craigslist.org,37990,2016,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,9704,clean,other,1G1FF1R79G0140582,rwd,coupe,red,https://images.craigslist.org/00i0i_5fpVmidrepGz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-01T12:21:51-0500
45,7315270785,https://auburn.craigslist.org/ctd/d/auburn-university-2018-nissan-frontier/7315270785.html,auburn,https://auburn.craigslist.org,27990,2018,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,37332,clean,other,1N6AD0EV5JN745213,4wd,pickup,silver,https://images.craigslist.org/00Q0Q_4slPoGJwoj0z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-05-01T09:11:35-0500
49,7314811916,https://auburn.craigslist.org/ctd/d/auburn-university-2020-jeep-wrangler/7314811916.html,auburn,https://auburn.craigslist.org,32990,2020,jeep,wrangler sport suv 2d,good,,gas,20581,clean,other,1C4GJXAN4LW180633,4wd,SUV,silver,https://images.craigslist.org/00w0w_c22tgqPHhymz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-30T10:11:01-0500
52,7314584315,https://auburn.craigslist.org/ctd/d/auburn-university-2020-mazda-mx5-miata/7314584315.html,auburn,https://auburn.craigslist.org,31590,2020,mazda,mx-5 miata club,good,,gas,2195,clean,other,JM1NDAC74L0413665,rwd,other,,https://images.craigslist.org/00w0w_d0WXyY6wEbOz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-29T18:11:10-0500
54,7314584291,https://auburn.craigslist.org/ctd/d/auburn-university-2019-caddy-cadillac/7314584291.html,auburn,https://auburn.craigslist.org,31590,2019,cadillac,xt4 sport suv 4d,good,,other,12102,clean,other,1GYFZER40KF121673,fwd,hatchback,black,https://images.craigslist.org/00v0v_Nmw3hmqa7iz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-29T18:11:08-0500
56,7313857831,https://auburn.craigslist.org/ctd/d/auburn-university-2016-jeep-renegade/7313857831.html,auburn,https://auburn.craigslist.org,16590,2016,jeep,renegade sport suv 4d,good,,gas,35835,clean,other,ZACCJBAW9GPC62449,4wd,other,red,https://images.craigslist.org/00w0w_fz5a524dBVIz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-28T11:01:17-0500
63,7313319521,https://auburn.craigslist.org/ctd/d/auburn-university-2018-ford-mustang-gt/7313319521.html,auburn,https://auburn.craigslist.org,34990,2018,ford,mustang gt premium,good,8 cylinders,gas,18650,clean,other,1FATP8FF5J5115190,rwd,other,black,https://images.craigslist.org/00N0N_3UIW7jqJYo7z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-27T10:01:24-0500
67,7312799035,https://auburn.craigslist.org/ctd/d/auburn-university-2013-toyota-tundra/7312799035.html,auburn,https://auburn.craigslist.org,31990,2013,toyota,tundra double cab pickup,good,8 cylinders,gas,55068,clean,other,5TFUY5F19DX303623,4wd,pickup,,https://images.craigslist.org/00f0f_dQ1UfxDq7nIz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-26T10:01:19-0500
68,7312754093,https://auburn.craigslist.org/ctd/d/auburn-university-2014-chevy-chevrolet/7312754093.html,auburn,https://auburn.craigslist.org,29990,2014,chevrolet,silverado 1500 double,good,8 cylinders,gas,26129,clean,other,1GCVKREC7EZ196951,4wd,pickup,brown,https://images.craigslist.org/00b0b_b7wMheEwhvGz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-26T08:42:39-0500
